long_name,age,nationality,club,overall
Karl Larson,27,Sweden,IK Sirius,64
Delano van Crooij,28,Netherlands,VVV-Venlo,64
Juha Pirinen,27,Finland,Tromsø IL,64
Vito Hammershøj-Mistrati,27,Denmark,Randers FC,64
Robert Herrmann,25,Germany,FC Würzburger Kickers,64
Ionuț Andrei Peteleu,26,Romania,CFR Cluj,64
Jáider Alfonso Riquett Molina,29,Colombia,La Equidad,64
Francisco Grahl,27,Argentina,Club Atlético Aldosivi,64
Ali Al Nemer,27,Saudi Arabia,Al Wehda,64
Yonathan Wladimir Andía León,26,Chile,Unión La Calera,64
Mégan Laurent,27,Belgium,KAS Eupen,64
José-Junior  Matuwila,27,Angola,1. FC Kaiserslautern,64
Dorian Bertrand,26,France,AS Nancy Lorraine,64
Sébastien Rénot,29,France,ESTAC Troyes,64
Hassan Amin,27,Afghanistan,SV Meppen,64
Mile Savković,26,Serbia,Jagiellonia Białystok,64
小野瀬 康介,26,Japan,Gamba Osaka,64
Yuji Hoshi,26,Japan,Oita Trinita,64
Kohei Isa,27,Japan,Oita Trinita,64
井林 章,28,Japan,Sanfrecce Hiroshima,64
박일규 朴一圭,29,Korea Republic,Yokohama F. Marinos,64
Kohei Hattori,28,Japan,Matsumoto Yamaga,64
Magno José da Silva,27,Brazil,Kawasaki Frontale,64
Boris Sekulić,27,Slovakia,Górnik Zabrze,64
Josh Mullin,26,Scotland,Ross County FC,64
Ivan Goranov,27,Bulgaria,Bulgaria,64
Paul  Green,36,Republic of Ireland,Crewe Alexandra,64
Glenn Morris,35,England,Crawley Town,64
Jon Jönsson,35,Sweden,IF Elfsborg,64
Peter Clarke,37,England,Fleetwood Town,64
Jobi  McAnuff,37,Jamaica,Leyton Orient,64
Lee Holmes,32,England,Exeter City,64
Tommaso Berni,36,Italy,Inter,64
Daniel Haas,35,Germany,FC Erzgebirge Aue,64
Lee Miller,36,Scotland,Livingston FC,64
Laurent Walthert,35,Switzerland,Neuchâtel Xamax,64
Darren  Potter,34,Republic of Ireland,Tranmere Rovers,64
Richard Foster,33,Scotland,St. Johnstone FC,64
Dean Lewington,35,England,Milton Keynes Dons,64
Steven MacLean,36,Scotland,Heart of Midlothian,64
Cristian Fernando Muñoz Hoffman,42,Argentina,CD Universidad de Concepción,64
David Prieto Gálvez,36,Spain,CF Fuenlabrada,64
Carlos Caballero Pérez,34,Spain,CF Fuenlabrada,64
Cosmin Andrei Vâtcă,37,Romania,CFR Cluj,64
John White,32,England,Southend United,64
Amin Soleiman Askar,33,Ethiopia,Sarpsborg 08 FF,64
최재수 崔在洙,36,Korea Republic,Gyeongnam FC,64
Jonas Borring,34,Denmark,AC Horsens,64
Martin Ørnskov,33,Denmark,Lyngby BK,64
Thomas Gebauer,37,Austria,LASK Linz,64
Ricardo José Cecília Batista,32,Portugal,Gaz Metan Mediaş,64
Martín Miguel Cortés,36,Argentina,Curicó Unido,64
Niklas Hoheneder,32,Austria,Chemnitzer FC,64
Barry Fuller,34,England,Gillingham,64
千葉 和彦,34,Japan,Nagoya Grampus,64
Chris Eagles,33,England,Oldham Athletic,64
James Perch,33,England,Scunthorpe United,64
Jonathan Forte,32,Barbados,Exeter City,64
Lee Frecklington,33,Republic of Ireland,Lincoln City,64
Tony Craig,34,England,Bristol Rovers,64
Michal Papadopulos,34,Czech Republic,Korona Kielce,64
Craig Davies,33,Wales,Mansfield Town,64
Josh Lillis,32,England,Rochdale,64
조용형 赵荣亨,35,Korea Republic,Jeju United FC,64
양상민 梁相珉,35,Korea Republic,Suwon Samsung Bluewings,64
곽태휘 郭泰辉,37,Korea Republic,Gyeongnam FC,64
Chris McCann,31,Republic of Ireland,DC United,64
Dominik Stroh-Engel,33,Germany,SpVgg Unterhaching,64
Patrick Bürger,32,Austria,SV Mattersburg,64
Lee Martin,32,England,Exeter City,64
Edgar Adolfo Hernández Tellez,36,Mexico,Club Atlas,64
Michael Gardyne,33,Scotland,Ross County FC,64
Rory McArdle,32,Northern Ireland,Scunthorpe United,64
Joel Grant,31,Jamaica,Plymouth Argyle,64
Luke Prosser,31,England,Colchester United,64
Fulvio Sulmoni,33,Switzerland,FC Lugano,64
Charles Andre Doudin Doudin,32,Switzerland,Neuchâtel Xamax,64
Steven Davies,31,England,Hamilton Academical FC,64
Łukasz Piątek,33,Poland,LKS Lodz,64
Anthony Wordsworth,30,England,AFC Wimbledon,64
Edward Upson,29,England,Bristol Rovers,64
Ritchie Kitoko,31,Belgium,Racing Santander,64
Eggert Gunnthor Jonsson,30,Iceland,SønderjyskE,64
Matti Lund Nielsen,31,Denmark,Sarpsborg 08 FF,64
Lloyd James,31,Wales,Forest Green Rovers,64
배기종 裴文钟,36,Korea Republic,Gyeongnam FC,64
Maciej Gostomski,30,Poland,FK Haugesund,64
Jesper Arvidsson,34,Sweden,IK Sirius,64
Nicolas Feldhahn,32,Germany,Bayern München II,64
Luis Antonio Martínez Jiménez,32,Mexico,Tiburones Rojos de Veracruz,64
Romain Vincelot,33,France,Shrewsbury,64
Andrew Williams,32,England,Northampton Town,64
Filipe Morais,33,Portugal,Crawley Town,64
Nedeljko Malić,31,Austria,SV Mattersburg,64
Tom Pope,33,England,Port Vale,64
Kai Bülow,33,Germany,FC Hansa Rostock,64
Yves De Winter,32,Belgium,Royal Antwerp FC,64
Robert Olejnik,32,Austria,Mansfield Town,64
Ione Agonay Jiménez Cabrera,33,Spain,WSG Tirol,64
Bozhidar Konstantinov Mitrev,32,Bulgaria,FC Voluntari,64
Harmeet Singh,28,Norway,HJK Helsinki,64
Reuben James Reid,30,England,Cheltenham Town,64
Manuel Viniegra García,31,Mexico,FC Juárez,64
박원재 朴原载,35,Korea Republic,Jeonbuk Hyundai Motors,64
谷口 博之,34,Japan,Sagan Tosu,64
Gary Deegan,31,Republic of Ireland,Cambridge United,64
王晓龙,33,China PR,Tianjin Quanjian FC,64
Greg Bolger,30,Republic of Ireland,Shamrock Rovers,64
Adam Legzdins,32,England,Burnley,64
Steven Lang,31,Switzerland,Servette FC,64
Karl Sheppard,28,Republic of Ireland,Cork City,64
Christoph Kröpfl,29,Austria,TSV Hartberg,64
Mark Howard,32,England,Blackpool,64
Kevin Walker,29,Sweden,Djurgårdens IF,64
Fredrik Brustad,30,Norway,Mjøndalen IF,64
Erik Israelsson,30,Sweden,Vålerenga Fotball,64
于大宝,31,China PR,Beijing Sinobo Guoan FC,64
Rolf Daniel Vikstøl,30,Norway,Viking FK,64
Josué Daniel Ayala,31,Argentina,Rosario Central,64
Mark Ellis,30,England,Tranmere Rovers,64
Michelangelo Albertazzi,28,Italy,Livorno,64
Adrian Winter,32,Switzerland,FC Zürich,64
Simon Madden,31,Republic of Ireland,St. Patrick's Athletic,64
신광훈 申光勋,32,Korea Republic,Gangwon FC,64
Jason Hoffman,30,Australia,Newcastle Jets,64
Jean Romaric Kevin Koffi,33,Ivory Coast,SV Waldhof Mannheim,64
卢琳,34,China PR,Guangzhou R&F FC,64
Scott Wagstaff,29,England,AFC Wimbledon,64
John-Joe O'Toole,30,Republic of Ireland,Burton Albion,64
Ben Kantarovski,27,Australia,Newcastle Jets,64
조수혁 赵寿赫,32,Korea Republic,Ulsan Hyundai FC,64
이윤표 李云彪,34,Korea Republic,Incheon United FC,64
홍정남 洪正男,31,Korea Republic,Jeonbuk Hyundai Motors,64
조동건 赵东建,33,Korea Republic,Sagan Tosu,64
Maciej Dąbrowski,32,Poland,Zagłębie Lubin,64
Dean Moxey,33,England,Exeter City,64
Brian Easton,31,Scotland,Hamilton Academical FC,64
Domenico Germinale,32,Italy,Pordenone,64
Fabio  Alves Macedo,34,Brazil,Philadelphia Union,64
Clemens Walch,31,Austria,WSG Tirol,64
Emmanuel Jorge Ledesma,31,Argentina,FC Cincinnati,64
Paul Taylor,31,England,Stevenage,64
Christian Klem,28,Austria,TSV Hartberg,64
Alexander Bittroff,30,Germany,KFC Uerdingen 05,64
Christer Gustafsson,32,Sweden,IK Sirius,64
Johan Mårtensson,30,Sweden,Örebro SK,64
Mickaël Facchinetti,28,Switzerland,FC Sion,64
Alexander MacDonald,29,Scotland,Mansfield Town,64
Salvatore Caturano,28,Italy,Virtus Entella,64
Mirko Eramo,29,Italy,Virtus Entella,64
Temitope Obadeyi,29,England,FC Sochaux-Montbéliard,64
Nicolas Ignacio Crovetto Aqueveque,33,Chile,Audax Italiano,64
Lampros Kontogiannis,30,Mexico,Tiburones Rojos de Veracruz,64
Dennis Telgenkamp,32,Netherlands,FC Emmen,64
Jordan Clarke,27,England,Scunthorpe United,64
Jordan Bowery,27,England,Milton Keynes Dons,64
Juvhel Hama Tsoumou,28,Congo,FC Hermannstadt,64
Dominik Hofbauer,28,Austria,SKN St. Pölten,64
Daniel Powell,28,England,Crewe Alexandra,64
Rodney Wallace,31,Costa Rica,Sporting Kansas City,64
Yaser Kasim,28,Iraq,Örebro SK,64
Robert Kiernan,28,Republic of Ireland,Southend United,64
Fredrik Liverstam,31,Sweden,Helsingborgs IF,64
Abdullah Mohammed Al Zoari Al Dossary,31,Saudi Arabia,Al Wehda,64
임상협 廉桑,30,Korea Republic,Jeju United FC,64
Simen Rafn,27,Norway,Lillestrøm SK,64
Hayuma Tanaka,36,Japan,Matsumoto Yamaga,64
Joe Edwards,28,England,Plymouth Argyle,64
Michael Marrone,32,Australia,Adelaide United,64
Ben Reeves,27,Northern Ireland,Milton Keynes Dons,64
Manuel Schwenk,27,Germany,Eintracht Braunschweig,64
Scott Neville,30,Australia,Brisbane Roar,64
Kevin Kratz,32,Germany,Atlanta United,64
Athanasios Papazoglou,31,Greece,FC Voluntari,64
Matthieu Sans,31,France,Chamois Niortais Football Club,64
Loïc Poujol,30,France,Rodez Aveyron Football,64
James Shea,28,England,Luton Town,64
Markus Pink,28,Austria,SK Sturm Graz,64
Marco Aratore,28,Switzerland,FC Lugano,64
Billy McKay,30,Northern Ireland,Ross County FC,64
Liam Ridehalgh,28,England,Tranmere Rovers,64
Joe Mason,28,Republic of Ireland,Milton Keynes Dons,64
Jack David Hingert,28,Australia,Brisbane Roar,64
Antonio Marino,30,Italy,Venezia FC,64
Giacomo Tulli,31,Italy,Trapani,64
Gregg Wylde,28,Scotland,Livingston FC,64
Luka Tankulic,28,Germany,SV Meppen,64
Chris Hussey,30,England,Cheltenham Town,64
水本 裕貴,33,Japan,Matsumoto Yamaga,64
Paris Cowan-Hall,28,England,Colchester United,64
Kwesi Appiah,28,Ghana,AFC Wimbledon,64
Ryan Bowman,27,England,Exeter City,64
Aaron Martin,29,England,Exeter City,64
Petar Slišković,28,Croatia,MSV Duisburg,64
Joakim  Våge Nilsen,28,Norway,FK Haugesund,64
David McMillan,30,Republic of Ireland,St. Johnstone FC,64
Keith Ward,28,Republic of Ireland,Bohemian FC,64
Bruno Leonardo  Vicente,30,Brazil,Castellammare di Stabia,64
Vincent Kevin Créhin,30,France,Le Mans FC,64
Enes Sağlık,27,Belgium,Sporting de Charleroi,64
Akeem Latifu,29,Nigeria,Mjøndalen IF,64
Stefan Payne,27,England,Tranmere Rovers,64
Medhy Guezoui,30,France,FC Chambly Oise,64
이재권 李在权,31,Korea Republic,Gangwon FC,64
Tobias Rühle,28,Germany,KFC Uerdingen 05,64
Mathias Nielsen,28,Denmark,Randers FC,64
Brian Gartland,32,Republic of Ireland,Dundalk,64
Franck Julienne,28,France,Le Mans FC,64
Nicky Ajose,27,England,Exeter City,64
Galin Stefanov Ivanov,31,Bulgaria,Bulgaria,64
Servando Carrasco,30,United States,LA Galaxy,64
김수범 金秀范,28,Korea Republic,Perth Glory,64
Alex Rodman,32,England,Bristol Rovers,64
Jimmy Maurer,30,United States,FC Dallas,64
David Boysen,28,Denmark,Helsingborgs IF,64
Urko Vera Mateos,32,Spain,Oldham Athletic,64
Joseph Mendes,28,Guinea Bissau,AC Ajaccio,64
유상훈 柳相勋,30,Korea Republic,FC Seoul,64
Joel Joseph Chianese,29,Australia,Perth Glory,64
Gianluca  Korte,28,Germany,SV Waldhof Mannheim,64
Raffael Korte,28,Germany,SV Waldhof Mannheim,64
Mikel Iribas Aliende,31,Spain,CF Fuenlabrada,64
Wilmar Jordán Gil,28,Colombia,Envigado FC,64
Julian-Maurice Derstroff,27,Germany, SSV Jahn Regensburg,64
유지훈 Ji Hoon Yu,31,Korea Republic,Gyeongnam FC,64
Stephan Auer,28,Austria,SK Rapid Wien,64
Saša Balić,29,Montenegro,Zagłębie Lubin,64
Terrence Boyd,28,United States,Hallescher FC,64
李 忠成,33,Japan,Yokohama F. Marinos,64
황순민 金胜敏,28,Korea Republic,Daegu FC,64
Martin Harrer,27,Austria,FC Voluntari,64
Adama Sarr,28,Senegal,Paris FC,64
Khalid Ahmed Al Ghamdi,31,Saudi Arabia,Al Faisaly,64
Nathaniel Knight-Percival,32,England,Carlisle United,64
Oliver Hein,29,Germany, SSV Jahn Regensburg,64
Yassen Hamza,28,Saudi Arabia,Al Wehda,64
Matty Blair,30,England,Doncaster Rovers,64
Mohammed Al Fehaid,29,Saudi Arabia,Al Fateh,64
Assaf Ahmed Al Qarni,35,Saudi Arabia,Al Ittihad,64
Stefan Rakowitz,29,Austria,TSV Hartberg,64
Dennis Iapichino,28,Switzerland,Servette FC,64
Simon Piesinger,27,Austria,Randers FC,64
Faisal Darwish,27,Saudi Arabia,Al Wehda,64
Ali Ahmed Al Zaqan,28,Saudi Arabia,Al Fateh,64
Abdullah Saud Al Mutairi,33,Saudi Arabia,Al Fayha,64
Giuseppe Torromino,31,Italy,Castellammare di Stabia,64
Abdulrahman Al Barakah,28,Saudi Arabia,Al Fayha,64
황석호 黄锡浩,30,Korea Republic,Shimizu S-Pulse,64
Paul McGinn,28,Scotland,St. Mirren,64
Toni Lindenhahn,28,Germany,Hallescher FC,64
Markus Schwabl,28,Germany,SpVgg Unterhaching,64
정동호 丁东浩,29,Korea Republic,Ulsan Hyundai FC,64
Armand Gnanduillet,27,Ivory Coast,Blackpool,64
阿部 拓馬,31,Japan,Vegalta Sendai,64
Brad Stuver,28,United States,New York City FC,64
Cristián Manuel Rojas Sanhueza,33,Chile,CD Antofagasta,64
Rodolfo Antonio González Aránguiz,30,Chile,CD Cobresal,64
César Augusto Hinestroza Lozano,29,Colombia,Patriotas Boyacá FC,64
Janeiler Rivas Palacios,31,Colombia,Gimnasia y Esgrima La Plata,64
Dairon Estibens Asprilla Rivas,27,Colombia,Portland Timbers,64
Fabián Andrés Saavedra Muñóz,27,Chile,CD Cobresal,64
Felipe Andrés Reynero Galarce,30,Chile,CD Cobresal,64
Matteo Mancosu,34,Italy,Virtus Entella,64
Francisco Portillo,31,Paraguay,CD Universidad de Concepción,64
Rüfät Dadaşov,27,Azerbaijan,SC Preußen Münster,64
Luís Carlos Almada Soares,33,Cape Verde,Politehnica Iaşi,64
Jorge Luis Corrales Cordero,28,Cuba,Montreal Impact,64
Jodel Dossou,27,Benin,TSV Hartberg,64
Maurice Deville,26,Luxembourg,SV Waldhof Mannheim,64
David Wheeler,28,England,Wycombe Wanderers,64
Sven Kreyer,28,Germany,Viktoria Köln,64
Lucas Mancinelli,29,Argentina,Patronato,64
Ignacio Herrera,31,Chile,CD Palestino,64
Tobias Karlsson,30,Sweden,Falkenbergs FF,64
Thomas McNamara,28,United States,Houston Dynamo,64
艾迪·弗朗西斯,28,China PR,Shanghai Greenland Shenhua FC,64
Alexander Stølås,30,Norway,FK Haugesund,64
西 翼,29,Japan,Daegu FC,64
Mickaël Diakota,28,France,Gaz Metan Mediaş,64
Tony Andreu,31,France,St. Mirren,64
Darian MacKinnon,33,Scotland,Hamilton Academical FC,64
Luis Rodrigo Santelices Tello,33,Chile,Curicó Unido,64
Sebastián Zúñiga Fuenzalida,29,Chile,Unión La Calera,64
赵宏略,29,China PR,Tianjin TEDA FC,64
Diego Sosa,27,Argentina,Argentinos Juniors,64
José Francisco Agulló Sevilla,27,Spain,CF Fuenlabrada,64
Kevin van Veen,28,Netherlands,Scunthorpe United,64
Oscar Iván Balanta Mosquera,31,Colombia,Patriotas Boyacá FC,64
Oniel Fisher,27,Jamaica,DC United,64
RJ Allen,29,United States,Philadelphia Union,64
Wanderson Carvalho Oliveira,30,Brazil,Pohang Steelers,64
長谷川 アーリアジャスール,30,Japan,Nagoya Grampus,64
Thorsten Mahrer,29,Austria,SV Mattersburg,64
Leonardo Miguel Freijão Jasper,35,Brazil,Ceará Sporting Club,64
Vinicius Lúcio Julião Morrinhos,31,Brazil,Chapecoense,64
Dêniro Rubens Prestes Cadete,31,Brazil,Ceará Sporting Club,64
Perceval Maicon Acunha Inácio,31,Brazil,CSA - AL,64
Allison Alan Peixoto Gomes,35,Brazil,Bahia,64
Mateus Bernardo Couteira Machado,35,Brazil,Fortaleza,64
Allan Norberto Vasquez Sobrinho,31,Brazil,Atlético Paranaense,64
Vágner Nilson Rosa Cadete,27,Brazil,Ceará Sporting Club,64
Iuliano Wagner Alfaro Azevedo,31,Brazil,Bahia,64
Francisco Carabalí,28,Venezuela,Patriotas Boyacá FC,64
Yilton Díaz,27,Colombia,Atlético Huila,64
Neri Ricardo Bandiera,29,Argentina,Curicó Unido,64
Juan Daniel Galeano,30,Argentina,Central Córdoba,64
森胁 良太,33,Japan,Urawa Red Diamonds,64
平岡 康裕,33,Japan,Vegalta Sendai,64
村山 智彦,31,Japan,Matsumoto Yamaga,64
김정야 金贞亚,31,Korea Republic,Vegalta Sendai,64
楠神 順平,31,Japan,Shimizu S-Pulse,64
Cristian Alberto Tarragona,28,Argentina,Patronato,64
小川 庆治朗,26,Japan,Vissel Kobe,64
Alexandru Dandea,31,Romania,FC Hermannstadt,64
Nelson Arturo Freitosa Ruiz,35,Brazil,Ceará Sporting Club,64
Claudio Igor Mouria Silva,27,Brazil,Santos,64
Joaninho Marvin Chagas Silva,31,Brazil,Avaí FC,64
Mairdel Kaíque Sampaio Muttinho,31,Brazil,CSA - AL,64
田中 亜土夢,31,Japan,Cerezo Osaka,64
Aubin Kouakou,28,Ivory Coast,Damac FC,64
Paul Ovidiu Pârvulescu,30,Romania,Academica Clinceni,64
Lorenzo Del Pinto,29,Italy,Benevento,64
Adrián Welliton Rocheira Sá,35,Brazil,Atlético Paranaense,64
Dillson Robson Teixeiro Loto,35,Brazil,Fortaleza,64
Aleksander Melgalvis,29,Norway,Lillestrøm SK,64
Ian Sirelius,31,Sweden,IK Sirius,64
都仓 贤,33,Japan,Cerezo Osaka,64
镰田 翔雅,30,Japan,Shimizu S-Pulse,64
朱建荣,27,China PR,Shanghai Greenland Shenhua FC,64
姜涛,30,China PR,Beijing Sinobo Guoan FC,64
Philipp Hoffmann,27,Germany,SC Preußen Münster,64
Sami Al Khaibari,29,Saudi Arabia,Al Fayha,64
Dominik Ernst,28,Germany,1. FC Magdeburg,64
Josef Welzmüller,29,Germany,SpVgg Unterhaching,64
Nama Fofana,29,France,La Berrichonne de Châteauroux,64
Lucas Alves Sotero da Cunha,28,Brazil,Unión Magdalena,64
André Luis Neitzke,32,Brazil,Neuchâtel Xamax,64
Jhonatan Pérez,30,Venezuela,Atlético Huila,64
飯尾 竜太朗,28,Japan,Vegalta Sendai,64
Theerathon Bunmathan,29,Thailand,Yokohama F. Marinos,64
尼扎木丁·阿凡提,28,China PR,Beijing Renhe FC,64
João Carlos Silva Reis,27,Portugal,CD Tondela,64
Pablo Lima,28,Uruguay,La Equidad,64
Koki Kotegawa,29,Japan,Oita Trinita,64
Fernando Arismendi,28,Uruguay,CD Everton de Viña del Mar,64
Mohammed Ahmed,30,United Arab Emirates,Al Ain FC,64
Saúl Torres,29,Bolivia,Bolivia,64
Ionuţ Balaur,30,Romania,FC Voluntari,64
Cătălin Straton,29,Romania,Dinamo Bucureşti,64
Sorin Bușu,29,Romania,FC Hermannstadt,64
Andrei Patache,31,Romania,FC Botoşani,64
Juan Castro,27,Mexico,Atlético de San Luis,64
Judicaël Crillon,30,France,FC Chambly Oise,64
Anthony Soubervie,35,France,FC Chambly Oise,64
Aurélien Tertereau,27,France,Rodez Aveyron Football,64
Joris Chougrani,28,France,Rodez Aveyron Football,64
Mychell Ruan Da Silva Chagas,30,Brazil,Servette FC,64
Alexandre Vardin,29,France,Le Mans FC,64
Youssef Fouzai,31,Tunisia,Al Adalah,64
Kilian Delgado,29,Chile,Coquimbo Unido,64
Livai Mihai,31,Romania,Chindia Târgovişte,64
Răzvan Tincu,31,Romania,Sepsi OSK,64
Pablo Cortizo,29,Argentina,Patronato,64
Gajodara Chatterjee,33,India,India,64
Pablo Bueno,29,Argentina,Jaguares de Córdoba,64
Milan Đurić,31,Serbia,Central Coast Mariners,64
Enzo Millot,16,France,AS Monaco,63
Lucien Agoume,17,France,Inter,63
Sebastiano Esposito,16,Italy,Inter,63
Abdoulaye Dabo,18,France,FC Nantes,63
Adam Idah,18,Republic of Ireland,Norwich City,63
Alessio Riccardi,18,Italy,Roma,63
John Yeboah,19,Germany,VfL Wolfsburg,63
Maarten Vandevoordt,17,Belgium,KRC Genk,63
Mattia Viviani,18,Italy,Brescia,63
James Garner,18,England,Manchester United,63
Andrés Perea,18,Colombia,Atlético Nacional,63
Roberto López Alcaide,19,Spain,Real Sociedad,63
Han-Noah Massengo,17,France,Bristol City,63
Danylo Sikan,18,Ukraine,Shakhtar Donetsk,63
Atakan Gündüz,18,Turkey,Trabzonspor,63
Josko Gvardiol,17,Croatia,Dinamo Zagreb,63
Danny Loader,18,England,Reading,63
Luca Plogmann,19,Germany,SV Werder Bremen,63
Zechariah Medley,18,England,Arsenal,63
Nathan Ferguson,18,England,West Bromwich Albion,63
中村 敬斗,18,Japan,FC Twente,63
Oliver Batista Meier,18,Germany,Bayern München II,63
Kenzo Goudmijn,17,Netherlands,AZ Alkmaar,63
Leon Dajaku,18,Germany,Bayern München II,63
Noah Katterbach,18,Germany,1. FC Köln,63
Sibiry Keita,18,Mali,KAS Eupen,63
Unai Vencedor Paris,18,Spain,Athletic Club de Bilbao,63
Nail Umyarov,19,Russia,Spartak Moscow,63
Eric Junior Dina Ebimbe,18,France,Le Havre AC,63
Rodrigo Riquelme Reche,19,Spain,Atlético Madrid,63
Yehvann Diouf,19,France,Stade de Reims,63
Valentín Mariano José Castellanos Giménez,20,Argentina,New York City FC,63
Tymoteusz Puchacz,20,Poland,Lech Poznań,63
Luis Alfonso Ureta Medina,20,Chile,CD O'Higgins,63
Oğuz Kağan Güçtekin,20,Turkey,Çaykur Rizespor,63
George Marsh,20,England,Tottenham Hotspur,63
Jack Roles,20,Cyprus,Tottenham Hotspur,63
Yann Aurel Bisseck,18,Germany,Holstein Kiel,63
Tymoteusz Klupś,19,Poland,Lech Poznań,63
Fabrizio Caligara,19,Italy,Venezia FC,63
Maxence Lacroix,19,France,FC Sochaux-Montbéliard,63
Levan Kharabadze,19,Georgia,FC Zürich,63
Davide Bettella,19,Italy,Pescara,63
Sacha Boey,18,France,Stade Rennais FC,63
João Manuel Neves Virgínia,19,Portugal,Reading,63
Hugo Vegard Vetlesen,19,Norway,Stabæk Fotball,63
Charlie Lakin,20,England,Birmingham City,63
Arda Akbulut,18,Turkey,Trabzonspor,63
Christoph Baumgartner,19,Austria,TSG 1899 Hoffenheim,63
Gianluca Busio,17,United States,Sporting Kansas City,63
Kevin Andrés Agudelo Ardila,20,Colombia,Genoa,63
임재혁 Jae Hyeok Lim,20,Korea Republic,Daegu FC,63
Edwin Alberto Herrera Hernandez,20,Colombia,Independiente Santa Fe,63
Valentín Burgoa,18,Argentina,Godoy Cruz,63
Pelayo Morilla Cabal,17,Spain,Real Sporting de Gijón,63
Andrés Reyes,19,Colombia,Atlético Nacional,63
Manasse Mampala,18,England,Everton,63
Luan Cândido de Almeida,19,Brazil,RB Leipzig,63
Erdem Seçgin,19,Turkey,Beşiktaş JK,63
Antonio Candela,19,Italy,Trapani,63
Jan Bamert,21,Switzerland,FC Sion,63
Jens Petter Hauge,19,Norway,FK Bodø/Glimt,63
Callum Styles,19,England,Barnsley,63
Yiğithan Güveli,21,Turkey,Yeni Malatyaspor,63
Nikolas Nartey,19,Denmark,1. FC Köln,63
Víctor Fernández Satué,21,Spain,Newcastle United,63
Pape Gueye,20,France,Le Havre AC,63
Ron-Thorben Hoffmann,20,Germany,FC Bayern München,63
Sergio Barreto,20,Argentina,Independiente,63
Michael Obafemi,18,Republic of Ireland,Southampton,63
Agostino Rizzo,20,Italy,Livorno,63
Enrique Clemente Maza,20,Spain,Real Zaragoza,63
Christian Joel Sánchez Leal,19,Cuba,Real Sporting de Gijón,63
Paul Will,20,Germany,Bayern München II,63
Joaquín Muñoz Benavides,20,Spain,SD Huesca,63
Enzo Le Fée,19,France,FC Lorient,63
Filip Marchwiński,17,Poland,Lech Poznań,63
Leif Davis,19,England,Leeds United,63
Till Cissokho,19,France,Clermont Foot 63,63
Amilcar Silva,19,Portugal,AS Monaco,63
Andy Pelmard,19,France,OGC Nice,63
Lamine Ghezali,19,France,La Berrichonne de Châteauroux,63
Zakaria Aboukhlal,19,Netherlands,PSV,63
Alexandre Phliponeau,19,France,Olympique de Marseille,63
Mohamed Bahlouli,19,France,Sampdoria,63
Antonio Islam Otegui Khalifi,21,Spain,CA Osasuna,63
Callum Brittain,21,England,Milton Keynes Dons,63
Jeppe Okkels,19,Denmark,Silkeborg IF,63
Andreas Poulsen,19,Denmark,Borussia Mönchengladbach,63
Oliver Shaw,21,Scotland,Hibernian,63
Matías Germán Nani,21,Argentina,Central Córdoba,63
